datetime,info,latitude,longitude
2005,IED  Qalat,"32,0632019","66,93855286"
2005,IED ANA CIV Sharona 1 CIV WIA 1 ANA WIA,"33,11349106","68,84446716"
2005,IED  Jalalabad Airfield,"33,45014954","69,04595947"
2005,IED,"31,5774498","64,39076233"
2005,IED  FOB Orgun-E,"33,12971115","69,27015686"
2005,IED  Kabul,"34,31155014","69,1437912"
2005,ENG - OTHER ANP CIV Khowst City 1 CIV WIA 1ANP WIA,"33,33853149","69,91748047"
2005,IED ANA CIV Khowst City 1 CIV WIA 2 ANA WIA,"33,33924103","69,91755676"
2005,IED CF Sharona 4 CF WIA,"33,16233826","68,81339264"
2005,IED ANA Shkin 2 ANA KIA 1 ANA WIA,"32,52579117","69,26960754"
2005,IED FOUND/CLEARED,"33,28181076","69,6033783"
2005,IED  Qalat,"32,07281876","67,21585846"
2005,IED ANA FOB Salerno 1 ANA WIA,"33,37929153","70,14537811"
2005,IED CF CIV Asadabad 10 CF WIA 1 CIV WIA,"34,94149399","71,06409454"
2005,IED CIV  1 CIV KIA 1 CIV WIA,"32,53388977","68,35359955"
2005,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (Components) OTHER : 1 CIV KIA 1 CIV WIA ,"32,53388977","68,35359955"
2005,DRUID Explosive Hazard Report Migrated,"32,53388977","68,35359955"
2005,DRUID Explosive Hazard Report Migrated,"33,81480408","69,90470886"
2005,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (UNK) OTHER : 0 INJ/DAM,"33,81480026","69,90470886"
2005,IED,"33,81480026","69,90470886"
2005,IED CF FOB Cobra 3 CF WIA,"32,9696312","65,49304962"
2005,IED ANP FOB Cobra 3 ANP KIA 3ANP WIA,"32,92658997","65,5345993"
2005,IED  Shinkay,"32,07365036","67,2105484"
2005,IED  Shinkay,"32,01025009","67,29656982"
2005,IED,"34,89896011","70,1087265"
2005,IED  Bagram,"34,89896011","70,1087265"
2005,IED ANA Bari Kowt 1 ANA KIA 5 ANA WIA,"35,4056282","71,54380035"
2005,IED,"31,95000076","65,50666809"
2005,IED CF FOB Gecko 2 CF WIA,"31,59289932","65,47418213"
2005,IED CIV  2 CIV WIA,"32,08903122","65,18810272"
